Frequency_Hz,Gain_dB
1961.485809,-21.843800
1998.026309,-22.003091
2035.247521,-22.162419
2073.162127,-22.321783
2111.783044,-22.481181
2151.123430,-22.640613
2191.196688,-22.800076
2232.016469,-22.959571
2273.596682,-23.119095
2315.951493,-23.278648
2359.095331,-23.438229
2403.042894,-23.597836
2447.809157,-23.757470
2493.409370,-23.917128
2539.859069,-24.076810
2587.174079,-24.236515
2635.370519,-24.396242
2684.464811,-24.555990
2734.473680,-24.715760
2785.414163,-24.875549
2837.303617,-25.035357
2890.159718,-25.195184
2944.000475,-25.355029
2998.844231,-25.514891
3054.709671,-25.674769
3111.615828,-25.834664
3169.582089,-25.994574
3228.628203,-26.154499
3288.774286,-26.314438
3350.040830,-26.474391
3412.448708,-26.634357
3476.019182,-26.794336
3540.773909,-26.954327
3606.734952,-27.114330
3673.924782,-27.274345
3742.366291,-27.434371
3812.082796,-27.594407
3883.098049,-27.754454
3955.436245,-27.914511
4029.122028,-28.074577
4104.180503,-28.234652
4180.637241,-28.394737
4258.518292,-28.554830
4337.850188,-28.714931
4418.659956,-28.875040
4500.975130,-29.035156
4584.823751,-29.195280
4670.234388,-29.355412
4757.236139,-29.515550
4845.858645,-29.675694
4936.132098,-29.835845
5028.087255,-29.996003
5121.755443,-30.156166
5217.168576,-30.316334
5314.359158,-30.476509
5413.360303,-30.636688
5514.205739,-30.796873
5616.929824,-30.957063
5721.567555,-31.117257
5828.154581,-31.277456
5936.727216,-31.437659
6047.322449,-31.597867
6159.977960,-31.758079
6274.732130,-31.918294
6391.624053,-32.078514
6510.693555,-32.238737
6631.981202,-32.398964
6755.528315,-32.559194
6881.376986,-32.719427
7009.570091,-32.879663
7140.151304,-33.039903
7273.165113,-33.200145
7408.656835,-33.360391
7546.672631,-33.520639
7687.259522,-33.680889
7830.465404,-33.841143
7976.339068,-34.001398
8124.930211,-34.161656
8276.289456,-34.321917
8430.468372,-34.482179
8587.519485,-34.642444
8747.496302,-34.802710
8910.453325,-34.962979
9076.446073,-35.123249
9245.531098,-35.283521
9417.766007,-35.443795
9593.209478,-35.604071
9771.921284,-35.764348
9953.962310,-35.924627
10139.394577,-36.084908
10328.281259,-36.245190
10520.686710,-36.405473
10716.676480,-36.565758
10916.317342,-36.726043
11119.677311,-36.886331
11326.825671,-37.046619
11537.832996,-37.206909
11752.771175,-37.367199
11971.713434,-37.527491
12194.734367,-37.687784
12421.909955,-37.848078
12653.317594,-38.008373
12889.036124,-38.168668
13129.145852,-38.328965
13373.728582,-38.489262
13622.867641,-38.649561
13876.647910,-38.809860
14135.155848,-38.970160
14398.479529,-39.130461
14666.708663,-39.290762
14939.934636,-39.451064
15218.250533,-39.611367
15501.751173,-39.771670
15790.533145,-39.931974
16084.694833,-40.092279
16384.336456,-40.252584
16689.560100,-40.412890
17000.469752,-40.573196
17317.171337,-40.733503
17639.772753,-40.893811
17968.383908,-41.054118
18303.116756,-41.214427
18644.085340,-41.374735
18991.405824,-41.535045
19345.196537,-41.695354
19705.578015,-41.855664
20072.673036,-42.015975
20446.606666,-42.176285
20827.506302,-42.336596
21215.501714,-42.496908
21610.725088,-42.657220
22013.311075,-42.817532
22423.396832,-42.977844
22841.122073,-43.138157
23266.629113,-43.298470
23700.062920,-43.458783
24141.571161,-43.619097
24591.304255,-43.779411
25049.415422,-43.939725
25516.060737,-44.100039
25991.399184,-44.260353
26475.592706,-44.420668
26968.806264,-44.580983
27471.207893,-44.741298
27982.968757,-44.901614
28504.263209,-45.061929
29035.268850,-45.222245
29576.166590,-45.382561
30127.140709,-45.542877
30688.378919,-45.703193
31260.072431,-45.863510
31842.416015,-46.023826
32435.608072,-46.184143
33039.850699,-46.344460
33655.349755,-46.504777
34282.314937,-46.665094
34920.959848,-46.825411
35571.502068,-46.985728
36234.163233,-47.146046
36909.169107,-47.306363
37596.749658,-47.466681
38297.139140,-47.626999
39010.576172,-47.787317
39737.303815,-47.947635
40477.569660,-48.107953
41231.625910,-48.268271
41999.729467,-48.428590
42782.142018,-48.588908
43579.130124,-48.749226
44390.965314,-48.909545
45217.924174,-49.069864
46060.288442,-49.230182
46918.345106,-49.390501
47792.386499,-49.550820
48682.710401,-49.711139
49589.620138,-49.871458
50513.424688,-50.031777
51454.438784,-50.192096
52412.983022,-50.352415
53389.383971,-50.512734
54383.974285,-50.673053
55397.092811,-50.833373
56429.084713,-50.993692
57480.301581,-51.154011
58551.101559,-51.314331
59641.849458,-51.474650
60752.916890,-51.634970
61884.682386,-51.795289
63037.531531,-51.955609
64211.857091,-52.115929
65408.059150,-52.276248
66626.545246,-52.436568
67867.730507,-52.596888
69132.037797,-52.757208
70419.897854,-52.917527
71731.749445,-53.077847
73068.039505,-53.238167
74429.223300,-53.398487
75815.764575,-53.558807
77228.135714,-53.719127
78666.817901,-53.879447
80132.301284,-54.039767
81625.085143,-54.200087
83145.678058,-54.360407
84694.598083,-54.520727
86272.372925,-54.681047
87879.540118,-54.841367
89516.647214,-55.001687
91184.251961,-55.162007
92882.922502,-55.322328
94613.237559,-55.482648
96375.786638,-55.642968
98171.170228,-55.803288
100000.000000,-55.963608
