Frequency_Hz,Phase_deg
1047.225190,-81.358443
1066.733938,-81.514160
1086.606114,-81.667153
1106.848489,-81.817464
1127.467958,-81.965137
1148.471548,-82.110213
1169.866413,-82.252736
1191.659843,-82.392745
1213.859263,-82.530284
1236.472235,-82.665391
1259.506464,-82.798107
1282.969798,-82.928472
1306.870230,-83.056524
1331.215903,-83.182302
1356.015111,-83.305844
1381.276303,-83.427188
1407.008086,-83.546370
1433.219226,-83.663427
1459.918652,-83.778395
1487.115463,-83.891309
1514.818922,-84.002205
1543.038469,-84.111117
1571.783718,-84.218078
1601.064461,-84.323122
1630.890676,-84.426283
1661.272522,-84.527592
1692.220352,-84.627082
1723.744708,-84.724784
1755.856331,-84.820729
1788.566162,-84.914948
1821.885343,-85.007471
1855.825228,-85.098327
1890.397378,-85.187545
1925.613572,-85.275154
1961.485809,-85.361183
1998.026309,-85.445659
2035.247521,-85.528609
2073.162127,-85.610061
2111.783044,-85.690040
2151.123430,-85.768573
2191.196688,-85.845685
2232.016469,-85.921402
2273.596682,-85.995747
2315.951493,-86.068747
2359.095331,-86.140423
2403.042894,-86.210801
2447.809157,-86.279902
2493.409370,-86.347751
2539.859069,-86.414368
2587.174079,-86.479777
2635.370519,-86.543998
2684.464811,-86.607054
2734.473680,-86.668964
2785.414163,-86.729750
2837.303617,-86.789431
2890.159718,-86.848027
2944.000475,-86.905558
2998.844231,-86.962043
3054.709671,-87.017501
3111.615828,-87.071950
3169.582089,-87.125408
3228.628203,-87.177894
3288.774286,-87.229424
3350.040830,-87.280017
3412.448708,-87.329688
3476.019182,-87.378455
3540.773909,-87.426333
3606.734952,-87.473340
3673.924782,-87.519490
3742.366291,-87.564799
3812.082796,-87.609282
3883.098049,-87.652955
3955.436245,-87.695832
4029.122028,-87.737927
4104.180503,-87.779255
4180.637241,-87.819829
4258.518292,-87.859663
4337.850188,-87.898771
4418.659956,-87.937165
4500.975130,-87.974859
4584.823751,-88.011865
4670.234388,-88.048197
4757.236139,-88.083865
4845.858645,-88.118882
4936.132098,-88.153261
5028.087255,-88.187012
5121.755443,-88.220147
5217.168576,-88.252677
5314.359158,-88.284613
5413.360303,-88.315966
5514.205739,-88.346747
5616.929824,-88.376966
5721.567555,-88.406633
5828.154581,-88.435759
5936.727216,-88.464352
6047.322449,-88.492423
6159.977960,-88.519982
6274.732130,-88.547037
6391.624053,-88.573598
6510.693555,-88.599674
6631.981202,-88.625274
6755.528315,-88.650406
6881.376986,-88.675079
7009.570091,-88.699301
7140.151304,-88.723081
7273.165113,-88.746426
7408.656835,-88.769345
7546.672631,-88.791844
7687.259522,-88.813933
7830.465404,-88.835618
7976.339068,-88.856907
8124.930211,-88.877807
8276.289456,-88.898325
8430.468372,-88.918468
8587.519485,-88.938243
8747.496302,-88.957656
8910.453325,-88.976715
9076.446073,-88.995425
9245.531098,-89.013793
9417.766007,-89.031826
9593.209478,-89.049529
9771.921284,-89.066908
9953.962310,-89.083970
10139.394577,-89.100720
10328.281259,-89.117163
10520.686710,-89.133306
10716.676480,-89.149154
10916.317342,-89.164713
11119.677311,-89.179987
11326.825671,-89.194981
11537.832996,-89.209702
11752.771175,-89.224153
11971.713434,-89.238340
12194.734367,-89.252268
12421.909955,-89.265942
12653.317594,-89.279365
12889.036124,-89.292543
13129.145852,-89.305480
13373.728582,-89.318180
13622.867641,-89.330648
13876.647910,-89.342888
14135.155848,-89.354905
14398.479529,-89.366702
14666.708663,-89.378283
14939.934636,-89.389652
15218.250533,-89.400813
15501.751173,-89.411771
15790.533145,-89.422528
16084.694833,-89.433088
16384.336456,-89.443455
16689.560100,-89.453633
17000.469752,-89.463624
17317.171337,-89.473433
17639.772753,-89.483063
17968.383908,-89.492516
18303.116756,-89.501797
18644.085340,-89.510907
18991.405824,-89.519852
19345.196537,-89.528632
19705.578015,-89.537252
20072.673036,-89.545715
20446.606666,-89.554023
20827.506302,-89.562179
21215.501714,-89.570185
21610.725088,-89.578046
22013.311075,-89.585762
22423.396832,-89.593338
22841.122073,-89.600774
23266.629113,-89.608075
23700.062920,-89.615243
24141.571161,-89.622279
24591.304255,-89.629187
25049.415422,-89.635968
25516.060737,-89.642626
25991.399184,-89.649161
26475.592706,-89.655577
26968.806264,-89.661876
27471.207893,-89.668060
27982.968757,-89.674130
28504.263209,-89.680090
29035.268850,-89.685940
29576.166590,-89.691684
30127.140709,-89.697322
30688.378919,-89.702857
31260.072431,-89.708292
31842.416015,-89.713626
32435.608072,-89.718863
33039.850699,-89.724005
33655.349755,-89.729052
34282.314937,-89.734007
34920.959848,-89.738872
35571.502068,-89.743647
36234.163233,-89.748336
36909.169107,-89.752938
37596.749658,-89.757456
38297.139140,-89.761892
39010.576172,-89.766247
39737.303815,-89.770521
40477.569660,-89.774718
41231.625910,-89.778838
41999.729467,-89.782883
42782.142018,-89.786853
43579.130124,-89.790752
44390.965314,-89.794578
45217.924174,-89.798335
46060.288442,-89.802023
46918.345106,-89.805644
47792.386499,-89.809198
48682.710401,-89.812688
49589.620138,-89.816113
50513.424688,-89.819476
51454.438784,-89.822778
52412.983022,-89.826019
53389.383971,-89.829201
54383.974285,-89.832324
55397.092811,-89.835391
56429.084713,-89.838401
57480.301581,-89.841356
58551.101559,-89.844258
59641.849458,-89.847106
60752.916890,-89.849902
61884.682386,-89.852647
63037.531531,-89.855342
64211.857091,-89.857987
65408.059150,-89.860585
66626.545246,-89.863134
67867.730507,-89.865637
69132.037797,-89.868095
70419.897854,-89.870507
71731.749445,-89.872875
73068.039505,-89.875200
74429.223300,-89.877482
75815.764575,-89.879723
77228.135714,-89.881923
78666.817901,-89.884082
80132.301284,-89.886202
81625.085143,-89.888283
83145.678058,-89.890326
84694.598083,-89.892332
86272.372925,-89.894301
87879.540118,-89.896234
89516.647214,-89.898132
91184.251961,-89.899995
92882.922502,-89.901824
94613.237559,-89.903619
96375.786638,-89.905382
98171.170228,-89.907112
100000.000000,-89.908811
